Game no.,Winner,Score,mcbadboy,bully
100,bully,2,0,2
100,bully,2,0,4
100,bully,2,0,6
100,bully,2,0,8
100,bully,2,0,10
100,bully,2,0,12
100,bully,2,0,14
100,bully,2,0,16
100,bully,2,0,18
100,bully,2,0,20
100,bully,2,0,22
100,bully,2,0,24
100,bully,2,0,26
100,bully,2,0,28
100,bully,2,0,30
100,bully,2,0,32
100,bully,2,0,34
100,bully,2,0,36
100,bully,2,0,38
100,bully,2,0,40
100,bully,2,0,42
100,bully,2,0,44
100,bully,2,0,46
100,bully,2,0,48
100,bully,2,0,50
100,bully,2,0,52
100,bully,2,0,54
100,bully,2,0,56
100,mcbadboy,1,1,56
100,bully,2,1,58
100,bully,2,1,60
100,bully,2,1,62
100,bully,2,1,64
100,bully,2,1,66
100,bully,2,1,68
100,bully,2,1,70
100,bully,2,1,72
100,bully,2,1,74
100,bully,2,1,76
100,bully,2,1,78
100,bully,2,1,80
100,bully,2,1,82
100,bully,2,1,84
100,bully,2,1,86
100,bully,2,1,88
100,bully,1,1,89
100,bully,2,1,91
100,bully,2,1,93
100,bully,2,1,95
100,bully,2,1,97
100,bully,1,1,98
100,bully,2,1,100
100,bully,2,1,102
100,bully,2,1,104
100,bully,2,1,106
100,bully,2,1,108
100,bully,2,1,110
100,bully,2,1,112
100,bully,2,1,114
100,bully,2,1,116
100,bully,2,1,118
100,bully,2,1,120
100,bully,2,1,122
100,bully,2,1,124
100,bully,2,1,126
100,bully,2,1,128
100,bully,2,1,130
100,bully,2,1,132
100,bully,2,1,134
100,bully,2,1,136
100,bully,2,1,138
100,bully,2,1,140
100,bully,2,1,142
100,bully,2,1,144
100,bully,2,1,146
100,bully,2,1,148
100,bully,2,1,150
100,mcbadboy,1,2,150
100,bully,2,2,152
100,bully,2,2,154
100,bully,1,2,155
100,bully,2,2,157
100,bully,2,2,159
100,mcbadboy,1,3,159
100,bully,2,3,161
100,bully,2,3,163
100,bully,2,3,165
100,bully,2,3,167
100,bully,2,3,169
100,bully,2,3,171
100,bully,2,3,173
100,bully,2,3,175
100,bully,2,3,177
100,bully,2,3,179
100,bully,2,3,181
100,bully,2,3,183
100,bully,2,3,185
100,bully,2,3,187
100,bully,2,3,189
100,bully,2,3,191
