Game no.,Winner,Score,mcbadboy,mcbadboy
100,mcbadboy,2,2,0
100,mcbadboy,1,3,0
100,mcbadboy,1,4,0
100,mcbadboy,2,6,0
100,mcbadboy,2,6,2
100,mcbadboy,1,7,2
100,mcbadboy,1,7,3
100,mcbadboy,2,9,3
100,mcbadboy,2,11,3
100,mcbadboy,2,13,3
100,mcbadboy,2,15,3
100,mcbadboy,2,15,5
100,mcbadboy,2,15,7
100,mcbadboy,1,16,7
100,mcbadboy,2,18,7
100,mcbadboy,2,18,9
100,mcbadboy,1,19,9
100,mcbadboy,1,19,10
100,mcbadboy,1,19,11
100,mcbadboy,2,21,11
100,mcbadboy,2,21,13
100,mcbadboy,2,23,13
100,mcbadboy,1,24,13
100,mcbadboy,2,26,13
100,mcbadboy,2,28,13
100,mcbadboy,1,29,13
100,mcbadboy,1,29,14
100,mcbadboy,1,30,14
100,mcbadboy,1,31,14
100,mcbadboy,1,32,14
100,mcbadboy,2,32,16
100,mcbadboy,1,33,16
100,mcbadboy,1,34,16
100,mcbadboy,1,35,16
100,mcbadboy,2,37,16
100,mcbadboy,2,39,16
100,mcbadboy,1,40,16
100,mcbadboy,3,43,16
100,mcbadboy,2,43,18
100,mcbadboy,1,44,18
100,mcbadboy,2,46,18
100,mcbadboy,2,46,20
100,mcbadboy,2,48,20
100,mcbadboy,2,50,20
100,mcbadboy,1,50,21
100,mcbadboy,2,50,23
100,mcbadboy,1,50,24
100,mcbadboy,2,50,26
100,mcbadboy,1,51,26
100,mcbadboy,2,51,28
100,mcbadboy,1,52,28
100,mcbadboy,1,53,28
100,mcbadboy,1,54,28
100,mcbadboy,1,54,29
100,mcbadboy,1,54,30
100,mcbadboy,2,54,32
100,mcbadboy,2,54,34
100,mcbadboy,2,54,36
100,mcbadboy,2,56,36
100,mcbadboy,1,56,37
100,mcbadboy,2,58,37
100,mcbadboy,2,58,39
100,mcbadboy,2,58,41
100,mcbadboy,3,61,41
100,mcbadboy,2,61,43
100,mcbadboy,1,62,43
100,mcbadboy,1,62,44
100,mcbadboy,2,64,44
100,mcbadboy,2,64,46
100,mcbadboy,2,66,46
100,mcbadboy,2,68,46
100,mcbadboy,2,70,46
100,mcbadboy,2,70,48
100,mcbadboy,1,71,48
100,mcbadboy,2,73,48
100,mcbadboy,1,73,49
100,mcbadboy,2,75,49
100,mcbadboy,1,75,50
100,mcbadboy,2,77,50
100,mcbadboy,2,77,52
100,mcbadboy,2,79,52
100,mcbadboy,1,79,53
100,mcbadboy,2,79,55
100,mcbadboy,1,80,55
100,mcbadboy,2,82,55
100,mcbadboy,1,83,55
100,mcbadboy,1,84,55
100,mcbadboy,1,84,56
100,mcbadboy,2,84,58
100,mcbadboy,1,85,58
100,mcbadboy,1,86,58
100,mcbadboy,2,86,60
100,mcbadboy,2,88,60
100,mcbadboy,1,88,61
100,mcbadboy,1,89,61
100,mcbadboy,2,91,61
100,mcbadboy,2,93,61
100,mcbadboy,1,93,62
100,mcbadboy,1,94,62
100,mcbadboy,1,94,63
