Game no.,Winner,Score,mcbadboy,rand
100,rand,3,0,3
100,rand,2,0,5
100,rand,2,0,7
100,rand,2,0,9
100,rand,2,0,11
100,rand,2,0,13
100,rand,3,0,16
100,rand,2,0,18
100,rand,2,0,20
100,rand,2,0,22
100,rand,2,0,24
100,rand,3,0,27
100,rand,3,0,30
100,rand,3,0,33
100,rand,2,0,35
100,rand,2,0,37
100,rand,3,0,40
100,rand,2,0,42
100,rand,2,0,44
100,rand,2,0,46
100,rand,3,0,49
100,rand,1,0,50
100,rand,3,0,53
100,rand,1,0,54
100,rand,3,0,57
100,rand,2,0,59
100,rand,1,0,60
100,rand,1,0,61
100,rand,3,0,64
100,rand,3,0,67
100,rand,2,0,69
100,rand,3,0,72
100,mcbadboy,2,2,72
100,rand,2,2,74
100,rand,2,2,76
100,rand,1,2,77
100,rand,3,2,80
100,rand,2,2,82
100,rand,3,2,85
100,mcbadboy,1,3,85
100,rand,3,3,88
100,rand,2,3,90
100,rand,3,3,93
100,rand,2,3,95
100,rand,2,3,97
100,rand,1,3,98
100,rand,2,3,100
100,rand,1,3,101
100,rand,3,3,104
100,rand,1,3,105
100,mcbadboy,1,4,105
100,rand,3,4,108
100,rand,2,4,110
100,rand,3,4,113
100,rand,1,4,114
100,rand,3,4,117
100,rand,1,4,118
100,rand,2,4,120
100,rand,3,4,123
100,rand,2,4,125
100,rand,2,4,127
100,rand,3,4,130
100,mcbadboy,1,5,130
100,rand,3,5,133
100,rand,1,5,134
100,rand,2,5,136
100,rand,2,5,138
100,rand,2,5,140
100,rand,2,5,142
100,rand,2,5,144
100,rand,2,5,146
100,rand,3,5,149
100,mcbadboy,1,6,149
100,rand,3,6,152
100,rand,2,6,154
100,rand,3,6,157
100,rand,3,6,160
100,rand,3,6,163
100,rand,3,6,166
100,rand,1,6,167
100,rand,2,6,169
100,rand,2,6,171
100,rand,2,6,173
100,rand,2,6,175
100,rand,1,6,176
100,rand,2,6,178
100,rand,2,6,180
100,rand,1,6,181
100,rand,3,6,184
100,rand,3,6,187
100,mcbadboy,2,8,187
100,rand,1,8,188
100,rand,2,8,190
100,rand,2,8,192
100,rand,2,8,194
100,rand,2,8,196
100,rand,3,8,199
100,rand,2,8,201
100,rand,2,8,203
100,rand,2,8,205
