Game no.,Winner,Score,mcboy,mcbadboy
100,mcboy,3,3,0
100,mcboy,3,6,0
100,mcboy,3,9,0
100,mcboy,3,12,0
100,mcboy,2,14,0
100,mcboy,2,16,0
100,mcboy,3,19,0
100,mcboy,3,22,0
100,mcboy,3,25,0
100,mcboy,3,28,0
100,mcboy,2,30,0
100,mcboy,2,32,0
100,mcboy,2,34,0
100,mcboy,3,37,0
100,mcboy,3,40,0
100,mcboy,3,43,0
100,mcboy,2,45,0
100,mcboy,3,48,0
100,mcboy,3,51,0
100,mcboy,3,54,0
100,mcboy,2,56,0
100,mcboy,3,59,0
100,mcboy,2,61,0
100,mcboy,3,64,0
100,mcboy,3,67,0
100,mcboy,3,70,0
100,mcboy,3,73,0
100,mcboy,3,76,0
100,mcboy,3,79,0
100,mcboy,2,81,0
100,mcboy,2,83,0
100,mcboy,3,86,0
100,mcboy,3,89,0
100,mcboy,2,91,0
100,mcboy,3,94,0
100,mcboy,3,97,0
100,mcboy,3,100,0
100,mcboy,3,103,0
100,mcboy,2,105,0
100,mcboy,3,108,0
100,mcboy,3,111,0
100,mcboy,2,113,0
100,mcboy,3,116,0
100,mcboy,3,119,0
100,mcboy,3,122,0
100,mcboy,3,125,0
100,mcboy,3,128,0
100,mcboy,3,131,0
100,mcboy,3,134,0
100,mcboy,2,136,0
100,mcboy,3,139,0
100,mcboy,3,142,0
100,mcboy,3,145,0
100,mcboy,3,148,0
100,mcboy,3,151,0
100,mcboy,3,154,0
100,mcboy,2,156,0
100,mcboy,3,159,0
100,mcboy,3,162,0
100,mcboy,2,164,0
100,mcboy,3,167,0
100,mcboy,3,170,0
100,mcboy,3,173,0
100,mcboy,3,176,0
100,mcboy,3,179,0
100,mcboy,3,182,0
100,mcboy,3,185,0
100,mcboy,3,188,0
100,mcboy,3,191,0
100,mcboy,3,194,0
100,mcboy,3,197,0
100,mcboy,2,199,0
100,mcboy,3,202,0
100,mcboy,3,205,0
100,mcboy,3,208,0
100,mcboy,3,211,0
100,mcboy,3,214,0
100,mcboy,3,217,0
100,mcboy,3,220,0
100,mcboy,3,223,0
100,mcboy,3,226,0
100,mcboy,3,229,0
100,mcboy,2,231,0
100,mcboy,3,234,0
100,mcboy,3,237,0
100,mcboy,3,240,0
100,mcboy,3,243,0
100,mcboy,3,246,0
100,mcboy,2,248,0
100,mcboy,1,249,0
100,mcboy,3,252,0
100,mcboy,3,255,0
100,mcboy,3,258,0
100,mcboy,3,261,0
100,mcboy,2,263,0
100,mcboy,3,266,0
100,mcboy,3,269,0
100,mcboy,3,272,0
100,mcboy,2,274,0
100,mcboy,3,277,0
