Game no.,Winner,Score,mcboy,rand
1,mcboy,3,3,0
2,rand,3,3,3
3,mcboy,1,4,3
4,rand,2,4,5
5,mcboy,2,6,5
6,mcboy,2,8,5
7,mcboy,3,11,5
8,mcboy,1,12,5
9,mcboy,2,14,5
10,mcboy,1,15,5
11,mcboy,2,17,5
12,rand,2,17,7
13,rand,1,17,8
14,rand,2,17,10
15,mcboy,2,19,10
16,rand,1,19,11
17,mcboy,2,21,11
18,rand,1,21,12
19,mcboy,1,22,12
20,mcboy,2,24,12
21,mcboy,3,27,12
22,mcboy,1,28,12
23,mcboy,3,31,12
24,mcboy,2,33,12
25,mcboy,3,36,12
26,mcboy,2,38,12
27,mcboy,2,40,12
28,mcboy,2,42,12
29,mcboy,2,44,12
30,mcboy,1,45,12
31,rand,3,45,15
32,mcboy,1,46,15
33,mcboy,1,47,15
34,rand,1,47,16
35,mcboy,1,48,16
36,mcboy,1,49,16
37,mcboy,3,52,16
38,mcboy,3,55,16
39,mcboy,2,57,16
40,mcboy,2,59,16
41,mcboy,3,62,16
42,rand,1,62,17
43,mcboy,1,63,17
44,mcboy,2,65,17
45,rand,1,65,18
46,mcboy,2,67,18
47,rand,1,67,19
48,mcboy,1,68,19
49,mcboy,1,69,19
50,mcboy,3,72,19
51,rand,2,72,21
52,mcboy,2,74,21
53,mcboy,3,77,21
54,mcboy,2,79,21
55,mcboy,3,82,21
56,mcboy,1,83,21
57,mcboy,3,86,21
58,mcboy,1,87,21
59,rand,2,87,23
60,mcboy,2,89,23
61,mcboy,2,91,23
62,rand,1,91,24
63,mcboy,3,94,24
64,rand,1,94,25
65,mcboy,2,96,25
66,rand,1,96,26
67,mcboy,2,98,26
68,mcboy,3,101,26
69,mcboy,2,103,26
70,mcboy,2,105,26
71,mcboy,2,107,26
72,mcboy,3,110,26
73,mcboy,2,112,26
74,mcboy,2,114,26
75,mcboy,3,117,26
76,mcboy,3,120,26
77,rand,1,120,27
78,mcboy,2,122,27
79,mcboy,1,123,27
80,mcboy,2,125,27
81,mcboy,1,126,27
82,rand,1,126,28
83,mcboy,2,128,28
84,mcboy,2,130,28
85,mcboy,1,131,28
86,mcboy,2,133,28
87,mcboy,1,134,28
88,rand,2,134,30
89,mcboy,2,136,30
90,mcboy,2,138,30
91,rand,2,138,32
92,mcboy,1,139,32
93,mcboy,2,141,32
94,mcboy,3,144,32
95,mcboy,2,146,32
96,mcboy,1,147,32
97,mcboy,1,148,32
98,mcboy,1,149,32
99,mcboy,2,151,32
100,mcboy,1,152,32
